Q1,Q2,Q3,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6,Q6_1_a,Q6_1_b,Q6_2_a,Q6_2_b,Q6_3_a,Q6_3_b,Q6_4_a,Q6_4_b,Q6_5_a,Q6_5_b,Q6_6_a,Q6_6_b,Q7,Q7_1_a,Q7_1_b,Q7_2_a,Q7_2_b,Q7_3_a,Q7_3_b,Q7_4_a,Q7_4_b,Q7_5_a,Q7_5_b,Q7_6_a,Q7_6_b,Q8,Q8_1_a,Q8_1_b,Q8_2_a,Q8_2_b,Q8_3_a,Q8_3_b,Q8_4_a,Q8_4_b,Q8_5_a,Q8_5_b,Q8_6_a,Q8_6_b,Q9,Q9_1_a,Q9_2_a,Q9_3_a,Q9_4_a,Q9_5_a,Q9_6_a,Q10,Q10_1_a,Q10_2_a,Q10_3_a,Q10_4_a,Q10_5_a,Q10_6_a,Q11,Q11_1_a,Q11_2_a,Q11_3_a,Q11_4_a,Q11_5_a,Q11_6_a,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q15,Q16,Q17,Q18,Q19,Q19_1
1,5b99663d4cefb60001e7a214,,5,5,4,4,5,2,5,,4,2,3,5,2,4,3,,3,2,5,4,5,6,,5,,6,,6,,6,,5,,5,,,4,,,2,6,,,2,,2,5,,,4,,,2,,2,,2,5,,6,,,2,1,1,2,1,2,,1,2,1,2,1,1,,2,2,2,1,1,1,2,46,1,0,0,0,0,0,0,0,0,0,0,4,1,3,9,,6
1,63468857ad980b73f5badc57,,5,5,5,5,5,4,5,,2,3,4,4,2,5,4,,3,4,4,4,4,4,,4,1,4,1,4,1,4,1,5,1,1,2,,4,1,3,2,5,1,2,2,4,1,2,2,,4,1,3,2,4,1,3,2,4,2,4,2,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,33,0,0,1,0,0,0,0,0,0,0,0,4,2,2,3,,6
1,59a5ceaccdf3820001654951,,6,5,3,3,6,2,6,,3,2,2,6,2,4,2,,2,1,3,3,6,5,,2,2,5,2,6,2,5,2,6,1,6,1,,3,2,1,2,4,2,2,2,2,2,5,1,,5,1,3,1,5,1,6,2,5,2,6,2,,2,1,1,2,2,2,,2,2,2,2,2,1,,2,2,2,2,1,1,2,41,1,0,0,0,0,0,0,0,0,0,0,5,1,3,9,,3
1,605c935e95a118608636b249,,4,5,4,4,6,6,4,,4,6,5,6,5,5,5,,5,5,3,4,4,4,,6,1,6,1,6,1,6,1,6,1,6,1,,4,1,2,2,6,1,4,2,6,1,6,1,,6,1,5,1,6,1,6,1,6,1,6,1,,1,2,2,1,1,2,,2,2,1,2,1,1,,1,2,2,1,1,1,2,45,1,0,0,0,0,0,0,0,0,0,0,5,1,4,9,,8
1,5f00396a739ed5000c224c26,,5,6,5,5,6,4,5,,3,1,3,6,1,4,3,,1,1,6,3,5,6,,1,1,3,2,4,2,4,1,4,1,3,2,,3,1,1,2,4,1,1,2,3,1,3,2,,4,1,1,2,3,1,5,2,5,1,4,2,,2,1,1,2,2,2,,2,1,1,2,2,2,,1,2,2,1,1,1,2,23,0,0,1,0,0,0,0,0,0,0,0,2,2,6,9,,6
1,6317b7a699896d5d934ef262,,4,5,5,4,6,6,5,,6,4,4,5,5,6,6,,4,3,5,2,5,5,,6,1,5,2,5,1,4,2,5,1,5,1,,5,1,1,2,6,1,6,1,6,1,5,1,,6,1,5,1,4,2,4,1,4,1,5,1,,1,1,2,2,1,1,,2,2,1,1,1,2,,1,1,2,2,1,1,1,33,0,0,1,0,0,0,0,0,0,0,0,6,2,3,9,,5
1,59d39d8200d49400018173d9,,2,4,5,2,6,1,6,,3,1,3,6,2,4,4,,2,1,5,5,4,6,,5,1,6,1,3,2,3,2,3,2,5,1,,4,2,1,2,5,1,2,2,3,1,5,1,,1,2,1,2,3,1,3,1,5,1,6,1,,2,1,2,2,1,2,,2,2,1,2,2,2,,2,2,2,2,2,1,2,48,1,0,0,0,0,0,0,0,0,0,0,3,1,4,9,,3
1,5a0afa44fe645f0001e9f3d9,,3,4,1,4,4,2,6,,3,1,3,2,1,5,1,,1,3,5,1,4,3,,3,1,1,2,2,2,1,2,4,1,2,2,,5,1,1,2,5,1,1,2,2,2,4,1,,5,1,3,1,3,2,2,2,3,2,6,1,,2,1,2,2,1,2,,1,2,1,2,2,2,,2,2,2,1,1,1,1,28,1,0,0,0,0,0,0,0,0,0,0,5,2,2,9,,4
1,62b224142b613b1ffb985ed2,,2,5,4,5,5,3,5,,6,3,5,5,3,6,2,,3,5,6,2,5,5,,5,1,6,1,5,1,5,1,6,1,4,2,,4,1,4,2,6,1,4,2,5,1,4,1,,5,1,2,2,4,1,3,2,5,1,5,1,,2,1,1,2,2,2,,2,2,1,2,2,1,,1,2,2,2,1,1,2,54,1,0,0,0,0,0,0,0,0,0,0,6,1,4,9,,2
1,62b2f74cf3794e252cc7d1a7,,5,4,5,6,5,4,6,,5,6,6,6,5,6,2,,3,4,4,2,5,5,,4,1,5,1,6,1,5,1,6,1,5,1,,3,1,6,1,4,2,4,1,5,1,5,1,,4,1,5,2,6,1,5,1,5,1,6,2,,1,2,2,2,1,2,,1,1,2,2,1,2,,1,1,2,2,2,2,1,21,1,0,0,0,0,0,0,0,0,0,0,2,2,3,9,,3
1,5d73d2735625b90016fa3655,,3,4,4,4,5,4,5,,3,2,3,4,2,4,4,,3,3,3,3,4,4,,5,1,4,1,4,1,5,1,4,1,5,1,,2,1,4,1,5,1,5,1,6,1,4,1,,3,1,4,1,5,1,5,1,6,1,6,1,,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,2,2,1,1,49,1,0,0,0,0,0,0,0,0,0,0,5,2,2,3,,6
1,55a6200efdf99b427bda5f58,,5,4,4,4,4,2,5,,3,1,2,5,1,3,2,,1,1,5,1,3,5,,6,1,6,1,6,1,6,1,6,1,6,1,,6,1,4,2,6,1,6,1,6,1,6,1,,6,1,6,1,4,2,6,1,6,1,6,1,,1,2,2,2,2,1,,1,2,1,1,2,2,,2,2,2,2,1,1,1,51,1,0,0,0,0,0,0,0,0,0,0,2,1,2,9,,4
1,600c6dd17a49d53a5f347ceb,,5,5,4,3,5,5,5,,5,3,5,6,3,5,3,,3,3,5,3,5,6,,4,1,6,1,5,1,3,1,3,1,4,1,,5,1,2,2,5,1,3,2,3,2,5,1,,4,1,1,2,3,1,2,2,5,1,6,1,,2,1,1,2,2,1,,2,2,2,2,2,2,,2,2,1,2,1,1,2,44,1,0,0,0,0,0,0,0,0,0,0,5,1,4,9,,6
1,5a1ab0577542890001aa7fc1,,4,5,5,4,5,2,6,,4,2,4,5,2,4,4,,2,2,5,4,5,5,,5,1,4,1,5,1,5,1,5,1,2,2,,5,1,5,2,5,1,2,2,3,2,4,1,,3,1,3,2,5,1,6,1,5,1,6,1,,2,1,1,2,2,2,,1,1,1,2,2,2,,1,2,2,2,2,1,2,60,1,0,0,0,0,0,0,0,0,0,0,5,2,3,6,,5
1,5feeec52d92c4a9ea0c52250,,4,5,2,4,4,3,6,,4,4,5,5,3,6,2,,3,2,4,2,5,6,,6,1,6,1,6,1,6,1,6,1,6,1,,5,1,1,2,6,1,4,2,4,,5,1,,2,2,1,2,1,2,1,2,6,1,6,1,,1,1,1,2,1,2,,2,2,1,1,1,2,,2,2,1,2,1,1,2,29,1,0,0,0,0,0,0,0,0,0,0,5,1,4,9,,1
1,62d800438c8e65be77d4bdbb,,6,3,4,4,6,4,6,,5,4,6,4,4,5,3,,4,4,5,2,6,2,,5,1,6,1,6,1,4,1,5,1,4,1,,5,1,1,2,6,1,5,1,6,1,4,2,,5,1,1,2,4,2,1,2,4,2,6,2,,1,1,1,1,1,2,,1,1,1,1,1,1,,1,1,1,1,1,1,1,41,1,0,0,0,0,0,0,0,0,0,0,5,2,5,9,,6
1,5cd54e60b7928300012a005c,,6,6,2,3,6,4,6,,3,2,3,4,3,4,2,,3,2,3,2,4,6,,3,2,6,1,6,1,6,1,6,1,6,1,,6,1,1,2,6,1,6,1,6,1,6,1,,2,2,2,2,2,2,2,2,6,1,6,1,,2,1,1,2,2,2,,2,2,1,1,2,2,,2,2,1,1,1,1,1,39,0,0,1,0,0,0,0,0,0,0,0,6,1,5,9,,4
1,5edd36ee4aaed5a3a0d9b6d1,,6,5,6,6,5,5,5,,6,5,6,6,3,6,6,,5,5,2,6,6,5,,5,1,6,1,6,1,3,1,4,1,6,1,,6,1,6,1,6,1,4,1,5,1,6,1,,6,1,5,1,6,1,6,1,6,1,6,1,,2,1,1,2,2,1,,1,1,1,2,1,2,,1,2,2,1,1,1,2,53,1,0,0,0,0,0,0,0,0,0,0,6,1,3,9,,6
1,5eab8aaadf23cb170f52e0cc,,5,4,4,3,4,2,6,,3,1,2,5,2,4,3,,1,2,3,2,5,5,,3,2,5,1,5,1,4,2,5,1,6,1,,5,1,4,1,5,,5,1,5,1,5,1,,5,1,5,1,4,1,5,,4,1,6,1,,1,1,2,1,1,1,,1,1,1,1,1,1,,1,2,1,1,1,1,2,30,1,0,0,0,0,0,0,0,0,0,0,2,2,2,9,,4
1,637545d6428d85daeedc3df5,,5,4,3,4,4,5,4,,4,4,4,3,3,4,3,,3,3,3,2,3,3,,2,,2,,2,,3,,3,,2,,,3,,3,,4,,2,,2,,4,,,3,,2,,3,,5,,4,,5,,,2,1,2,2,1,2,,1,1,2,2,1,2,,2,2,2,1,1,1,1,49,1,0,0,0,0,0,0,0,0,0,0,5,1,3,9,,6
1,5d065e79dc2d54000138cf2b,,5,4,1,5,5,2,6,,6,2,5,5,2,6,2,,1,3,4,1,6,5,,5,1,6,1,6,1,4,1,6,1,3,1,,5,1,2,1,6,1,3,,3,1,6,1,,6,1,5,2,6,1,6,1,4,1,6,1,,2,1,2,1,1,2,,1,1,1,2,2,1,,1,2,2,2,1,1,2,21,1,0,0,0,0,0,0,0,0,0,0,3,2,2,9,,2
1,60c682d13eac136dcb62df4b,,6,4,4,4,5,4,5,,5,4,4,5,3,5,4,,4,3,4,4,5,4,,3,1,2,2,4,1,2,2,5,1,6,1,,3,1,2,2,6,1,4,1,4,1,3,1,,4,1,3,1,4,1,4,1,6,1,6,1,,2,1,2,2,2,2,,2,2,1,1,1,2,,2,2,1,2,1,1,1,31,1,0,0,0,0,0,0,0,0,0,0,2,2,1,9,,7
1,59e39cc9c0d35a0001294f20,,6,3,6,1,6,2,3,,1,2,1,5,2,1,6,,3,1,6,6,3,5,,5,1,5,1,4,1,6,1,5,1,6,1,,5,1,1,2,6,1,6,1,5,1,4,1,,6,1,5,2,4,2,5,1,5,1,6,1,,2,1,1,1,2,1,,1,2,1,2,2,2,,1,2,2,2,1,1,1,69,1,0,0,0,0,0,0,0,0,0,0,5,1,2,9,,11
1,5780d9a1900cc80001d2d1c2,,5,2,5,5,6,3,3,,2,3,2,3,2,3,4,,2,1,6,3,4,2,,5,1,3,2,3,2,4,1,5,1,2,2,,4,1,1,2,5,1,1,2,4,2,2,2,,4,1,2,2,1,2,1,2,3,2,2,2,,2,2,2,2,2,2,,1,2,1,2,1,2,,1,2,2,2,1,2,1,66,1,0,0,0,0,0,0,0,0,0,0,7,1,2,2,,8
